order_id,user_id,username,dish_id,dish_name,category,quantity,unit_price,line_total,order_total_price,calories,weekday,hour,time_of_day,diet_types,allergens,favorite_categories,preferred_budget,preferred_calories,sweet_tooth,dish_allergens,dish_diets,created_at
5876,402,user_2,7,Гречневая каша,breakfast,1,90.0,90.0,150.0,200,saturday,7,breakfast,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-02-21T23:36:14.439415
5876,402,user_2,63,Морс клюквенный,drink,1,60.0,60.0,150.0,80,saturday,7,breakfast,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-02-21T23:36:14.439415
5877,402,user_2,49,Свекольный салат с орехами,salad,1,140.0,140.0,190.0,190,monday,17,dinner,vegan,"gluten,milk","drink,breakfast",103.25,300,1,nuts,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-04-06T09:33:14.439415
5877,402,user_2,3,Компот,drink,1,50.0,50.0,190.0,90,monday,17,dinner,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-04-06T09:33:14.439415
5878,402,user_2,27,Гречка с курицей,main,1,180.0,180.0,180.0,405,friday,18,dinner,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"glutenFree,halal,highProtein,lactoseFree,vegan,vegetarian",2026-02-06T10:33:14.439415
5879,402,user_2,23,Чечевичный суп,soup,1,125.0,125.0,285.0,200,friday,15,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-02-01T08:06:14.439415
5879,402,user_2,38,Рис с овощами,main,1,160.0,160.0,285.0,300,friday,15,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"glutenFree,halal,highProtein,lactoseFree,vegan,vegetarian",2026-02-01T08:06:14.439415
5880,402,user_2,38,Рис с овощами,main,1,160.0,160.0,160.0,300,wednesday,14,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"glutenFree,halal,highProtein,lactoseFree,vegan,vegetarian",2025-12-09T06:55:14.439415
5881,402,user_2,34,Овощное рагу,main,2,165.0,330.0,385.0,260,monday,15,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2025-12-19T07:14:14.439415
5881,402,user_2,62,Компот из сухофруктов,drink,1,55.0,55.0,385.0,90,monday,15,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2025-12-19T07:14:14.439415
5882,402,user_2,15,Щи из свежей капусты,soup,1,120.0,120.0,330.0,190,monday,12,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-02-22T04:23:14.439415
5882,402,user_2,38,Рис с овощами,main,1,160.0,160.0,330.0,300,monday,12,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"glutenFree,halal,highProtein,lactoseFree,vegan,vegetarian",2026-02-22T04:23:14.439415
5882,402,user_2,3,Компот,drink,1,50.0,50.0,330.0,90,monday,12,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-02-22T04:23:14.439415
5883,402,user_2,38,Рис с овощами,main,1,160.0,160.0,440.0,300,monday,13,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"glutenFree,halal,highProtein,lactoseFree,vegan,vegetarian",2026-03-21T06:04:14.439415
5883,402,user_2,49,Свекольный салат с орехами,salad,2,140.0,280.0,440.0,190,monday,13,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,nuts,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-03-21T06:04:14.439415
5884,402,user_2,15,Щи из свежей капусты,soup,1,120.0,120.0,280.0,190,thursday,14,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-01-14T06:36:14.439415
5884,402,user_2,38,Рис с овощами,main,1,160.0,160.0,280.0,300,thursday,14,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"glutenFree,halal,highProtein,lactoseFree,vegan,vegetarian",2026-01-14T06:36:14.439415
5885,402,user_2,27,Гречка с курицей,main,2,180.0,360.0,450.0,405,friday,15,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"glutenFree,halal,highProtein,lactoseFree,vegan,vegetarian",2025-12-14T07:48:14.439415
5885,402,user_2,48,Капустный салат,salad,1,90.0,90.0,450.0,100,friday,15,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2025-12-14T07:48:14.439415
5886,402,user_2,3,Компот,drink,1,50.0,50.0,155.0,90,wednesday,9,breakfast,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-02-25T02:00:14.439415
5886,402,user_2,50,Картофель фри,snack,1,105.0,105.0,155.0,320,wednesday,9,breakfast,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"glutenFree,halal,lactoseFree,vegan,vegetarian",2026-02-25T02:00:14.439415
5887,402,user_2,38,Рис с овощами,main,1,160.0,160.0,285.0,300,monday,12,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"glutenFree,halal,highProtein,lactoseFree,vegan,vegetarian",2026-02-28T04:25:14.439415
5887,402,user_2,48,Капустный салат,salad,1,90.0,90.0,285.0,100,monday,12,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-02-28T04:25:14.439415
5887,402,user_2,64,Чай чёрный,drink,1,35.0,35.0,285.0,5,monday,12,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-02-28T04:25:14.439415
5888,402,user_2,7,Гречневая каша,breakfast,1,90.0,90.0,90.0,200,saturday,8,breakfast,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-03-29T00:19:14.439415
5889,402,user_2,34,Овощное рагу,main,1,165.0,165.0,255.0,260,monday,14,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-01-20T06:26:14.439415
5889,402,user_2,48,Капустный салат,salad,1,90.0,90.0,255.0,100,monday,14,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-01-20T06:26:14.439415
5890,402,user_2,15,Щи из свежей капусты,soup,1,120.0,120.0,375.0,190,monday,15,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-03-06T07:55:14.439415
5890,402,user_2,48,Капустный салат,salad,1,90.0,90.0,375.0,100,monday,15,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-03-06T07:55:14.439415
5890,402,user_2,34,Овощное рагу,main,1,165.0,165.0,375.0,260,monday,15,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-03-06T07:55:14.439415
5891,402,user_2,27,Гречка с курицей,main,1,180.0,180.0,180.0,405,sunday,13,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"glutenFree,halal,highProtein,lactoseFree,vegan,vegetarian",2026-02-06T05:37:14.439415
5892,402,user_2,23,Чечевичный суп,soup,1,125.0,125.0,470.0,200,saturday,14,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-02-10T06:34:14.439415
5892,402,user_2,34,Овощное рагу,main,1,165.0,165.0,470.0,260,saturday,14,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-02-10T06:34:14.439415
5892,402,user_2,59,Фруктовый салат,dessert,1,120.0,120.0,470.0,170,saturday,14,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-02-10T06:34:14.439415
5892,402,user_2,63,Морс клюквенный,drink,1,60.0,60.0,470.0,80,saturday,14,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-02-10T06:34:14.439415
5893,402,user_2,27,Гречка с курицей,main,1,180.0,180.0,215.0,405,tuesday,20,dinner,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"glutenFree,halal,highProtein,lactoseFree,vegan,vegetarian",2026-02-04T12:25:14.439415
5893,402,user_2,65,Чай зелёный,drink,1,35.0,35.0,215.0,5,tuesday,20,dinner,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-02-04T12:25:14.439415
5894,402,user_2,15,Щи из свежей капусты,soup,1,120.0,120.0,480.0,190,sunday,11,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2026-03-28T04:05:14.439415
5894,402,user_2,27,Гречка с курицей,main,2,180.0,360.0,480.0,405,sunday,11,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"glutenFree,halal,highProtein,lactoseFree,vegan,vegetarian",2026-03-28T04:05:14.439415
5895,402,user_2,15,Щи из свежей капусты,soup,1,120.0,120.0,455.0,190,thursday,11,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"diabetic,glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2025-12-19T03:50:14.439415
5895,402,user_2,27,Гречка с курицей,main,1,180.0,180.0,455.0,405,thursday,11,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"glutenFree,halal,highProtein,lactoseFree,vegan,vegetarian",2025-12-19T03:50:14.439415
5895,402,user_2,59,Фруктовый салат,dessert,1,120.0,120.0,455.0,170,thursday,11,lunch,vegan,"gluten,milk","drink,breakfast",103.25,300,1,,"glutenFree,halal,lactoseFree,lowCalorie,vegan,vegetarian",2025-12-19T03:50:14.439415
